게시일자,게시물제목명,내용
2023-07-21,KF 글로벌챌린저 아카데미 국내 집합 교육,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)는 7월 10일(월)부터 14일(금)까지 한국외국어대학교 글로벌캠퍼스에서 2023 KF 글로벌챌린저 아카데미 참가자들의 국내 집합 교육을 시행했습니다. KF 글로벌챌린저 아카데미 는 국제적 활동의 잠재력이 뛰어나지만 해외 거주 및 유학 경험이 없는 우리 청년들을 대상으로 글로벌 진출 역량을 함양하고 세계시민으로 도약할 기회를 제공하고자 기획된 프로그램입니다. 지난 5월 서류 및 면접 전형을 거쳐 13개 지역 31개 대학교의 참가자 40명이 선발되었습니다. 이들에게는 프로그램 참가비와 해외 어학연수 왕복 항공권의 80%, 여행자 보험료 등이 지원되며, 사회적 배려 대상자 중 기회균등대상자에게는 왕복항공권과 비자발급비도 전액 지원됩니다.2023 KF 글로벌챌린저 아카데미 는 지난 6월 26일부터 온라인 교육을 시작하여, 이후 국내 집합 교육과 해외 어학 연수, 성과발표회 순으로 진행됩니다.이번 7월 10일부터 5일간 진행된 국내 집합교육에서는 어학 연수 파견에 앞서 어학 능력을 강화하는 동시에 해외진출 역량 및 타문화에 대한 이해도 향상을 위한 프로그램이 진행되었습니다. 교육 내용 중에는 국립외교원 김태환 교수의 「강대국 경쟁 시대 한국 공공외교의 역할」, 한국외국어대학교 허용 교수의 「논문 작성법」, 대구대학교 안병억 교수의 「글로벌 핵심 이슈와 주요 아젠다」 그 외 미국 이문화 특강, 재단법인 아름지기 신지혜 디렉터의 「한국 문화의 이해」 강의가 진행되었습니다.참가자들은 8월 19일에 미국으로 출국하며 오는 12월 8일까지 미국 미주리대학교 프로그램을 이수하고, 뉴욕, 로스앤젤레스 필드트립을 통해 견문을 넓히게 됩니다."
2023-07-21,"미국, 뉴질랜드, 인도네시아 문화예술계 유력인사 한국 방문","KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)는 미국, 뉴질랜드, 인도네시아의 문화예술 분야 주요 인사 총 3명을 6월 25일(일)부터 7월 1일(토)까지 6박 7일 일정으로 한국에 초청했습니다. 이번 문화예술 분야 유력인사 그룹 초청사업의 일환으로 한국에 오는 인사는 △ 알렉산더 나이어지스(Alexander Nyerges) 미국 버지니아미술관 관장, △ 데이비드 리브스(David Reeves) 오클랜드전쟁기념박물관 소장품관리연구부 부장, △ 투바구스 숙마나(Tubagus Sukmana) 인도네시아 교육문화연구기술부 영화음악미디어국 국장, 총 3명입니다. 이들은 공통 일정으로 국립현대미술관, 국립중앙박물관, 호암미술관, 리움미술관 등 주요 박물관미술관과 SM엔터테인먼트 사옥을 방문하고, 덕수궁 야간 관람을 즐기며 한국의 전통과 현대의 아름다움을 다채롭게 경험했습니다. 특히 국립현대미술관에서 최근 5월 개막한 한국 실험미술 1960-70년대展과 호암미술관의 한 점 하늘_김환기展을 둘러보며 한국 근현대미술을 심도 있게 이해하는 시간을 가졌습니다."
2023-07-21,호주 예비 언론인들 한국 방문,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)는 7월 1일(토)부터 8일(토)까지 7박 8일 간 미래 언론인을 꿈꾸는 호주 주요 대학 미디어 관련 전공 대학생 10명을 한국에 초청했습니다. 올해 참가자들은 KBS, 조선일보, 중앙일보, 연합뉴스, 한국언론진흥재단 등 국내 주요 언론 기관을 방문하고, 연세대학교 호주연구소 전문가 특강에 참석하였습니다. 그 외에도 법무법인 율촌에서 이백순 前주호주한국대사 특강을 통해 한국전쟁과 러시아-우크라이나 전쟁을 비교해 보는 시간을 가졌습니다. 문화 일정으로는 한복 체험을 비롯, 경복궁, N서울타워, 북촌한옥마을 등을 방문하여 한국의 역사, 문화, 산업 등 다양한 분야에 대한 이해의 폭을 넓혔습니다."
2023-08-07,호주 정치 차세대 지도자 6명 한국 방문,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)는 7월 15일(토)부터 21일(금)까지 6박 7일 일정으로 호주 차세대 정치인 6명을 한국에 초청했습니다. 한국을 방문하는 인사는 제롬 락살(Jerome Laxale) 노동당 하원의원을 단장으로 하여, 파티마 페이먼(Fatima Payman) 노동당 상원의원(서호주), 다니엘 길리(Daniel Gillie) 자유당 태즈매이니아 부지사 및 주 재무장관 비서실장 등 향후 호주 정치를 이끌어갈 젊은 정치인들 총 6명으로 구성되었습니다. 이들은 주한호주대사관을 방문해 캐서린 레이퍼 주한호주대사와 면담을 통해 한-호 양국 관계 및 외교, 경제 현안에 대해 의견을 나눴습니다. 또한 DMZ를 견학하고 아산정책연구원 등 다양한 기관을 방문해 한국의 외교 정책과 호주와의 교역 현황, 북핵문제 대응책 등 폭넓은 분야에 걸친 논의를 진행했습니다."
2023-08-09,중앙아시아 국가들과의 전통의약 분야 협력 본격화,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환) 한-중앙아 협력포럼 사무국은 한국한의약진흥원(National Institute for Korean Medicine Development; NIKOM, 원장 정창현)과 공동으로 중앙아시아 전통의약 산업화 연수를 7월 24일(월)부터 28일(금)까지 시행했습니다. 중앙아시아 전통의약 산업화 연수는 중앙아시아의 보건부 정책 당국자 및 유관기관 전문가들을 대상으로 카자흐스탄, 키르기스스탄, 타지키스탄, 투르크메니스탄, 우즈베키스탄 등 5개국에서 각각 2명씩 총 10명을 한국에 초청했습니다. 이들은 한국에 머무는 동안 한국한의약진흥원을 비롯하여 한국한의학연구원, 대구한의대학교등을 방문하고, 대구약령시의 박물관과 한방의료체험타운을 시찰하며 체험했습니다. 또한 한국한의약진흥원이 제공하는 이틀간의 교육 과정이 프로그램에 포함되었습니다. 중앙아시아 전통의약 산업화 연수와 연계하여 시행되는 제1차 한-중앙아 전통의약 포럼에는 한국 측의 고성규 대한한의학회 부회장, 채한 부산대학교 한의학전문대학원 교수 등 주요 유관기관 및 학계 관계자들이 참석하고, 중앙아시아에서는 카자흐스탄의 이마셰프(Murat Imashev) 보건부 국제협력국 부국장, 키르기스스탄의 아카예프(Zamirbek Akaev) 보건부 의료서비스품질의약품정책관, 우즈베키스탄의 미라히모프(Jamshid Mirrakhimov) 국립전통의학과학임상센터장이 참석하는 등 총 40여 명이 참가했습니다."
2023-08-23,2023 KF 공공외교 역량강화대학 네트워킹데이 개최,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)는 지난 8월 22일(화) 서울 스페이스에이드에서 2023 KF 공공외교 역량강화대학 네트워킹데이 를 개최하였습니다. 공공외교 역량강화대학 사업은 대학 내 공공외교 교육 확대를 통해 대학(원)생들의 공공외교 이해도 제고 및 전문 인력 양성을 위한 사업으로, 현재 총 15개 대학이 사업에 참여하고 있습니다. 이번 네트워킹데이에는 역량강화대학사업을 담당하는 교수님과 실무진 총 17명이 한자리에 모였으며, 대학간 사업 내용을 공유하며 협업방안을 모색하고, 사업의 발전 방안에 대해 논의하는 유익한 시간을 가졌습니다."
2023-08-23,"런웨이 싱가포르 #SGFASHIONNOW 연계 프로그램, 아티스트 토크 진행","지난 8월 18일, KF아세안문화원과 싱가포르 아시아문명박물관(Asian Civilisations Museum)의 협력전시 런웨이 싱가포르 #SGFASHIONNOW 의 연계 프로그램, 아티스트 토크가 진행되었습니다. 윤초롱 부산대 의류학과 교수, 케니 팅(Kennie Ting) 아시아문명박물관 관장, 라이오넬 웡 디자이너(벨프디자인), 엘린 웡 디자이너(스톨른), 그리고 서나영, 정재원 부산대 의류학과 학생이 패널로 참석했습니다. 부산 지역의 패션디자인학과, 의류학과 학생 등이 아티스트 토크의 관객으로 참여했습니다. 패널토크에서는, 케니 팅 관장의 박물관 대학 간 협력 프로젝트로서 #SGFASHIONNOW 전시 시리즈 소개, 싱가포르 현지 디자이너 2인의 싱가포르의 문화가 패션 디자인 작업에 미친 영향 및 작품 소개, 부산대 학생 2인의 한국의 전통문화를 반영한 작품 발표가 있었습니다. 마지막으로 도미닉 로(Dominic Low) 아시아문명박물관 큐레이터의 전시 가이드 투어가 진행되었습니다."
2023-08-23,런웨이 싱가포르 #SGFASHIONNOW 전시 개막식 개최,"지난 8월 17일, KF아세안문화원과 싱가포르 아시아문명박물관(Asian Civilisations Museum)의 협력전시 런웨이 싱가포르 #SGFASHIONNOW 의 개막식이 개최되었습니다. 이번 개막식에는 이종국 KF교류이사, 케니 팅(Kennie Ting) 아시아문명박물관장, 에릭 테오(Eric Teo Boon Hee) 주한싱가포르대사, 류종우 부산섬유패션산업연합회 부회장, 옥사나 두드니크(Oxana DUDNIK) 러시아총영사, 강철호 부산시의회 의원, 이정우 국립아시아문화전당 기획운영관 등 국내외 주요 인사들이 참석했습니다. 개막식에서는 싱가포르 팝음악 디제잉 공연, 주요인사의 환영사 및 축사, 그리고 케니 팅 박물관장의 전시 가이드 투어가 진행되었습니다."
2023-08-24,2023 KF 글로벌챌린저 아카데미 해외 어학연수,"2023년 8월 19일, KF 글로벌챌린저 아카데미 참가자들이 미국 미주리주로 출국하였습니다.40명의 참가자들은 8월 22일부터 12월 8일까지 미국 미주리대학교에서 LEAD 프로그램을 이수하게 되며, “글로벌리더 진로 탐색”의 개별 연구 주제를 탐구합니다.2023 KF 글로벌챌린저 아카데미 는 지난 6월 26일부터 온라인 교육을 시작하여, 이후 국내 집합 교육과 해외 어학 연수, 성과발표회 순으로 진행됩니다.참가자들은 미주리대학교 도착 후 LEAD 프로그램 OT와 Tiger Walk 등 다양한 학교 행사에 참여하며 해외 어학 연수를 본격 시작하였습니다.이후 11월과 12월에는 각각 뉴욕, LA 필드트립을 통해 코리아소사이어티 특강을 비롯한 주요 기관 방문 프로그램 등이 진행됩니다."
2023-09-01,2023 아세안 책방,"KF아세안문화원이 프로젝트렌트 올드타운점(서울 성동구 성수이로3길 18-1)에서 8월 10일부터 31일까지 2023 아세안 책방을 운영합니다. 2023 아세안 책방은 자카르타, 쿠알라룸프르, 세부, 싱가포르, 방콕 아트북페어 감독들과 협업하여 아세안 10개국의 아트북과 라이프스타일을 소개하는 팝업스토어로, 아세안 10개국 27개 출판사가 참여하여 국가별 대표도서 10권을 선정하고 국가별 추천도서 43권을 선보였습니다. 아세안의 일상은 3가지 라이프스타일 섹션인 ▲ 슈퍼노멀 아이템 전시 및 판매, ▲ 아세안 카페, ▲ 태국 문방구로 마련되었습니다. 또한 8월 13일부터 14일까지 양일간 아세안 지역 아트북페어 감독 10인을 초청하여 감독과의 대화(Directors Talk)를 진행하였고, 국내 아트북 관계자들이 다수 참여하여 한-아세안 아트북 출판계의 뜻깊은 문화교류 현장이 되었습니다."
2023-09-07,2023 KF KASI 공무원 펠로십 시작,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)는 순천향대학교와 협력하여 9월 4일(월)부터 8주간 아세안 지역 내 한국 전문 공무원을 양성하기 위한 KF KASI 공무원 펠로십 을 시행합니다. KF KASI 공무원 펠로십 은 아세안 지역 내 공무원들을 대상으로 한국 전문가를 키우기 위해 기획된 프로그램으로, 올해는 캄보디아, 인도네시아, 라오스, 말레이시아, 미얀마, 필리핀, 태국, 베트남 등 아세안 8개국에서 총 20명의 공무원들이 참여합니다.한국에 머무는 동안 참가자들은 순천향대학교 한국어교육원에서 한국어 수업을 수강하는 것 외에도 한국의 정치, 경제, 문화, 외교정책 등 다양한 한국 관련 특강을 듣게 됩니다. 또한 태권도, 사물놀이 등 다양한 한국 문화를 체험하고 경주, 부산, 전주, 여수 등 국내 여러 지역을 탐방하며 한국 지방 문화와 역사를 둘러볼 예정입니다.9월 4일(월) 개최된 환영식에는 응우옌 부 뚱(Nguyen Vu Tung) 주한베트남대사, 로뮬로 빅터 엠 이즈라엘 주니어(Romulo Victor M. Israel, Jr.) 주한필리핀대사관 총영사 등이 참석하여 참가자들을 격려하고, 한-아세안 관계 강화를 위한 참가자들의 역할을 강조했습니다"
2023-09-12,2023 유라시아 청년 아카데미 해외 연수,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환) 한-중앙아협력포럼사무국은 2023 제5기 유라시아 청년 아카데미 사업의 일환으로 8월 20일(일)부터 9월 2일(토)까지 2주 간 우즈베키스탄, 키르기스스탄, 카자흐스탄 등 중앙아시아 3개국에서 해외 연수 프로그램을 시행했습니다. 올해 유라시아 청년 아카데미 에 지원한 146명 중 선발된 130명은 4월부터 6월에 걸쳐 러시아어 및 중앙아어(카자흐어, 우즈벡어) 교육과 지역 이해 기초교육을 받았고, 이 중 60여 명이 7월 경기도 용인에서 집합합숙 교육으로 진행된 지역이해 심화과정을 수료했습니다. 이번 연수는 약 4개월 간 진행된 국내 교육 과정의 종합 평가에서 우수한 성적을 거둔 20명, 그리고 제2-4기 참가자 중 5명을 별도로 선발하여 우즈베키스탄, 키르기스스탄, 카자흐스탄의 현지 기관 및 기업 관계자, 그리고 중앙아 현지 차세대 전문가들과의 네트워킹 기회를 가졌습니다. 연수 참가자들은 8월 20일 그랜드하얏트인천에서 열린 발대식 후, 12박 14일 일정으로 우즈베키스탄 타슈켄트, 키르기스스탄 비슈케크, 카자흐스탄 알마티에서 각국의 현재 산업 트렌드를 파악할 수 있는 KOTRA, 한-우즈벡희소금속센터, 사마르칸트 스타트업 인큐베이팅 센터, 카자흐스탄 한국형 스마트팜 센터 등의 기관을 방문해 차세대 전문가들을 만났습니다. 그리고 현대자동차와 카자흐스탄 최대 자동차 업체 아스타나 모터스가 협력해 준공한 현대트랜스 카자흐스탄(HTK)과 CIS 지역 전문 글로벌 종합물류기업인 에코비스 타슈켄트의 물류센터를 방문해 제조, 교통, 물류 등 한-중앙아 간 주요 협력 업계 현장의 목소리도 들을 수 있었습니다. 또한 이틀간에 걸쳐 타슈켄트국립동방대, 카자흐국제관계세계언어대 학생들과 함께 현지 진출 비즈니스 아이디어를 공유하고 직접 시장 조사를 하면서, 중앙아 현지 학생들 20명과 함께 그룹별 미션을 수행했습니다. 이번 해외 연수를 무사히 마친 20명의 제5기 교육생들은 올 10월부터 12월 중 인턴십에도 참석하게 될 예정입니다."
2023-09-12,제31차 한일포럼 개최,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)와 일본국제교류센터(Japan Center for International Exchange; JCIE, 이사장 가노 이사오(狩野 功))가 공동 주관하는 제31차 한일포럼 이 8월 30일(수)부터 9월 1일(금)까지 서울에서 개최되었습니다. 제31차 한일포럼 에서는 △ [제1세션] 한일 양국 국내 정치 상황과 한일 관계에 대한 함의, △ [제2세션] 급변하는 국제 정세와 한일관계, △ [제3세션] 경제안보와 한일 협력 전망, △ [제4세션] 한일 관계 정상화와 민간 교류를 위한 제언 등을 주제로, 양국 간 주요 현안 및 미래지향적 협력 방안에 대해 논의했습니다.올해는 양국 정계, 재계, 언론계, 학계 등 각계 인사 56명이 참석했습니다. 한국 측에서는 유명환 한일포럼 회장(前외교통상부 장관), 김기환 KF 이사장을 비롯하여, 하태경 국민의힘 의원, 태영호 국민의힘 의원, 김영배 더불어민주당 의원, 이인선 국민의힘 의원, 나경원 前의원, 신각수 前주일대사, 진창수 세종연구소 일본연구센터장 등이 참석했습니다. 일본 측에서는 오코노기 마사오 일한포럼 의장(게이오대학 명예교수), 사이토 켄 법무대신(중의원 의원, 자민당), 후쿠야마 테츠로 일본 국회 참의원(입헌민주당), 우에다 이사무 일본 국회 참의원(공명당), 시오무라 아야카 참의원(입헌민주당), 고쿠분 료세이 게이오대학 명예교수(前방위대학교장), 다나카 히토시(일본총합연구소 국제전략연구소 이사장), 가토리 요시노리 일한문화교류기금 이사장 등이 참석했습니다.‘제8회 한일포럼상’에는 조석래 효성그룹 명예회장이 올해 수상자로 선정되었습니다. 한일포럼상은 포럼 부대행사의 하나로 한일관계 발전에 공로가 있는 인사에게 수여해오고 있습니다. 조석래 명예회장은 1993년 한일포럼 설립에 기여하며 한일 관계의 기틀을 마련하는 데 중요한 역할을 했습니다. 2005년 한일경제협회 회장과 한일산업협력재단 이사장, 2007년 전국경제인연합회 회장 등을 역임하면서, 조 명예회장은 한일관계 협력의 패러다임을 전환하며 탁월한 민간 외교관으로서 한일 관계 발전에 기여한 인물이기도 합니다.또 다른 부대행사로 진행되는 제9회 한일주니어포럼 에서는 지난 8월 21일(월) 한일 양국 대학생 및 대학원생이 각국에서 10명씩 모여 「우리가 그리는 미래」를 주제로 논의했습니다. 한일주니어포럼 은 2013년 국교 정상화 50주년을 기념으로 2015년부터 시작하여 매년 한일포럼 과 함께 개최되고 있다. 올해 논의한 결과는 제30차 한일포럼 2일차에 참가자들이 직접 발표했습니다."
2023-09-13,2023 차세대 전문가를 위한 한국미술 워크숍 개최,한국국제교류재단은 지난 9월 4일(월)부터 8일(금)까지 닷새간 서울에서 '한국의 현대미술'을 주제로 차세대 전문가를 위한 한국미술 워크숍(Next Generation Korean Art Workshop) 을 개최하였습니다. 올해 차세대 워크숍에는 한국미술 및 문화 전반에 깊은 관심을 가지고 있는 11개국 18명의 대학(원)생들이 참가하여 서울에서 강연과 답사를 통해 한국 현대미술의 출발부터 다양한 형식으로 뻗어나가고 있는 동시대 미술까지 폭넓게 학습하고 체험하였습니다. 이번 워크숍을 계기로 미래의 전문가들이 한국미술의 세계적 위상을 이어갈 수 있기를 응원합니다.
2023-09-18,"‘모두의 어떤차이’ 전시, 캐나다 순회 개최","KF와 캐나다 국립장애인문화예술센터(NaAC, National accessArts Centre)는 지난 여름 서울 KF갤러리(6.19.-8.12.), 제주국제컨벤션센터 갤러리(7.11.-7.23.)에서 성황리에 개최된 모두의 어떤 차이 전시를 캐나다 오타와에서 순회 개최합니다. 한국-캐나다 수교 60주년을 기념하여 추진된 동 전시는 9월 5일부터 29일까지 주캐나다한국문화원에서 약 한 달간 개최되며, 앞선 전시와 마찬가지로 한국의 고(故) 이원형과 픽셀 김(김현우), 캐나다 NaAC의 소속 작가인 미셸 베니, 브라이언 이니스 등 총 12인의 다양한 작품들을 소개하고 있습니다. 예술을 통해 장애와 국경을 넘어 교류하는 이번 전시가 세계인들에게 감동을 주고, 양국 간 포용적인 협력을 제고하는 데 기여할 수 있기를 기대합니다."
2023-09-19,한국-스위스 수교 60주년 기념 한글 헬베티카 서밋展 개최,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)와 주한스위스대사관(대사 다그마 슈미트 타르탈리(H.E. Dagmar Schmidt Tartagli))은 9월 4일(월)부터 10월 27일(금)까지 서울 중구 수하동 소재 KF갤러리에서 한국-스위스 수교 60주년을 기념하는 전시 한글 헬베티카 서밋(The Hangul Helvetica Summit) 을 공동 개최합니다. 9월 5일, KF갤러리에서 한글 헬베티카 서밋 전시 개막식이 개최되었습니다. 이종국 KF교류이사, H.E. Dagmar Schmidt Tartagli(다그마 슈미트 타르탈리)주한스위스대사, 전시 기획과 서체 개발을 주도한 박경식, 이용제 디자이너 등을 비롯해 전시 참여 디자이너, 외교 관계자 등 많은 분들이 함께 전시의 개막을 축하하였습니다. 수교 60주년을 맞아 한국과 스위스 양국의 디자인 역사를 보여줄 수 있는 주제로 선정된 헬베티카는 스위스의 디자이너 막스 미딩거(Max Miedinger)와 에두아르트 호프만(Eduard Hoffmann)이 공동 개발해 디자인계에서 널리 쓰이는 서체 중 하나로 한글 헬베티카 서밋 展은 한-스위스 양국의 서체 문화, 그 중에서도 국제적으로 널리 알려졌으나 국내에서는 본격적으로 다뤄진 적이 없는 헬베티카의 상징적 의미와 형식적 특질을 집중 조명합니다. 1957년 스위스에서 탄생한 이후 지금까지 그래픽 디자인 역사에서 광범위한 영향을 준 헬베티카 서체가 만들어진 배경, 제작 과정, 시각적 결과물이 이번 전시에서 한 자리에 모입니다. 또한 디자인적 감각과 연구를 집약적으로 보여주는 매체인 포스터, 견본집, 책, 잡지 등의 아카이브 자료도 소개됩니다. 전시는 다섯 섹션으로 구성되어 있습니다. 첫 번째 섹션에서는 헬베티카가 탄생할 수 있었던 역사적문화적 배경을 시작으로, 1960-70년대 미국 디자인계에서 헬베티카가 각광받게 된 경위, 그리고 전세계에 확산되며 발휘한 디자인 문화사적 영향력과 그 이후의 유산을 전반적으로 살펴볼 수 있습니다."
2023-09-21,UC 버클리 총장 방한 계기 KF 이사장 면담,"KF 이사장은 지난 9월 15일(금) 한국을 방문한 UC 버클리(University of California, Berkeley)의 Carol T. Christ 총장(Chancellor)과 면담을 갖고 한국학 지속 발전 등 협력 방안을 논의하였습니다.▶ KF, UC 버클리에 한국학 교수직 설치지난 2020년, KF는 기금 교수직 설치 지원사업을 통해 동 대학에 한국문학·문화 교수직을 1석 설치하였으며, 2021년 가을 Kevin Smith 박사가 동 교수직에 임용되는 성과를 거두었습니다. Christ 총장은 이러한 KF의 지원에 사의를 표하고, 한국학 전공 개설 등 한국학 발전을 위해 지속적으로 노력할 예정이라고 밝혔습니다. ▶ 과학·문화·예술 등 신규 분야에서의 협력 방안 논의KF 이사장과 Christ 총장은 인문학, 사회과학 외에도 과학기술, 문화예술 등 신규 분야 협력에 대한 필요성 및 가능성을 언급, 협력 확대 방안에 대한 다양한 의견을 나누었습니다.이날 면담에는 Christ 총장을 비롯하여 △안진수 UC버클리 한국학센터장, △Katherine Yelick 연구부총장(Vice Chancellor for Research) 등이 배석하였으며, 향후 구체 협력 방안에 대한 논의를 이어나갈 예정입니다."
2023-09-26,2023 KOREANA 가을호 발간,"코리아나 2023년 가을호: 핫플레이스가 된 전통시장 쾌적한 환경에서 편리하게 쇼핑할 수 있는 대형마트와 온라인 쇼핑의 일상화로 인해 전통시장이 설 자리를 잃고 침체 상태에 빠진 지 오래되었습니다.그러나 최근 불고 있는 레트로 열풍과 로컬리티에 대한 관심,여기에 전통시장의 부흥을 위한 다양한 노력이 더해지면서 전통시장의 위상과 정체성이 변화하고 있습니다.한국 문화예술 종합 계간지『코리아나』가을호에서는 단순히 물건을 사고파는 장소였던 전통시장이 먹거리,볼거리,즐길 거리가 가득한 체험 공간으로 변신 중인 현재의 흐름을 다각도로 소개합니다.이 외에 세계3대 음악 축제 중 하나인SXSW페스티벌에2년 연속 초청되며 해외에서 먼저 유명해진 일렉트로닉 듀오 해파리,지극한 고요함 속에서도 커다란 매력을 발산하는 도시 서산,유수의 해외 영화제들에서 기립 박수를 받은 정주리 감독의 영화다음 소희,젊은 세대 사이에서 놀이 문화가 된‘네 컷 사진’에 대한 이야기가 독자들을 찾아갑니다.신간 코리아나는 웹진(www.koreana.or.kr)에서도 만나실 수 있습니다."
2023-10-10,2023 공공외교랩소디 - Melodies without Borders,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)는 9월 26일(화)- 27일(수), 양일간 노들섬 라이브하우스에서 2023 공공외교랩소디 - Melodies without Borders(경계를 넘어선 선율) 공연을 개최했습니다. 공공외교랩소디 는 KF가 우리 국민 및 주한 외국인을 대상으로 세계문화공연 감상 및 참여 기회를 제공하고자 개최해 온 행사로서, 올해 공공외교랩소디 에서는 전주세계소리축제와의 협력을 통한 3팀의 아티스트 초청을 포함해 국내외에서 활약 중인 아티스트 총 6팀이 준비한 공연을 선보였습니다.1일차인 26일에는 △ 에스토니아 방언과 소수민족 뵈로족의 언어로 자연과 전통을 노래하는 싱어송라이터 ‘마리 칼쿤(Mari Kalkun)’, △ 여행을 주제로 음악활동을 하고 있는 캐나다의 앙상블과 세네갈 출신 코라 명인이 함께하는 ‘콘스탄티노플 아블라예 시소코 (Constantinople Ablaye Cissoko)’, 그리고 △ 국악기와 전통 보컬만으로 전통과 현대를 절묘하게 엮어내는 한국의 ‘악단광칠’이 무대를 장식했습니다.2일차인 27일에는 △ 한국 출신 보컬리스트와 호주 클라리네티스트가 창조하는 사색적이고 감성적인 소리를 느낄 수 있는 ‘써니 킴 x 아비바 엔딘 (Sunny Kim x Aviva Endean)’, △ 코트디부아르의 원초적 리듬과 멜로디를 바탕으로 모두가 손뼉 치며 즐길 수 있는 음악을 선보이는 ‘떼게레(TEKERE)’, △ 굿에서 쓰는 무가(巫歌)에 레게, 재즈, 힙합 등 다양한 장르를 섞어 독특한 음악을 선보이는 사이키델릭 샤머니 훵크 밴드 ‘추자혜차지스’의 공연이 진행되었습니다.관객들이 공연을 한층 더 즐길 수 있도록 진행된 공연 전 프로그램으로는 1일차에는 인도 전통무용 오디시 무용수 금빛나와 함께 인도 이야기를 들으며 춤을 배워보는 오디시 워크숍 이 진행되었으며, 2일차에는 떼게레 크루가 라이브로 들려주는 서아프리카 전통 리듬에 맞추어 춤을 배워보는 서아프리카 댄스 워크숍 이 진행되었습니다."
2023-10-11,"케냐, 뉴질랜드, 슬로바키아 외교안보 전문가 초청","KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)는 9월 17일(일)부터 23일(토)까지 해외 유력인사 방한초청 사업 의 일환으로 케냐, 뉴질랜드, 슬로바키아 등 3개국에서 외교안보 정책 전문가 3명을 한국에 초청했습니다. 이번 해외 유력인사 방한초청 사업 의 참가자는 △ 아서 안담비(Arthur ANDAMBI) 케냐 외교부 아시아태평양국장, △ 로베르토 라벨(Roberto RABEL) 뉴질랜드 빅토리아대학교 전략연구센터 전문위원, △ 마떼이 칸드릭(Matej KANDRIK) 슬로바키아 Adapt 안보정책연구소장 등 3개국 3명으로 해외의 외교안보 분야 유력인사들이 한국 내에서 인적 네트워크를 구축하고 이들이 한국 외교안보 정책과 현실을 이해할 수 있도록 마련되었습니다. 이들은 외교부, 국립외교원 외교안보연구소, 국가사이버안보센터, 국회 등을 방문해 국내 전문가들을 만났으며, 부산에서 2030 부산세계박람회를 준비하는 현장에 직접 방문해 견학하고 부산시 관계자를 만나 박람회 유치 노력에 대해 청취하였습니다. 케냐 안담비 외교부 아태국장은 2006년 외교부 입부 이후 유엔대표부, 스웨덴 대사관 근무 후 중동국 국장을 역임하였고, 제71차 유엔총회 제2위원회(경제 및 금융문제) 부의장을 맡은 바 있으며 이번 한국 방문 기간 동안 한-아프리카재단, 한-케냐 의원친선협회, 외교부 아프리카중동국 및 주한케냐대사관을 방문하였습니다. 네덜란드 라벨 교수는 웰링턴 빅토리아대학교에서 부총장을 역임하고 은퇴 후에도 같은 대학 전략연구센터의 전문위원(Professional Fellow) 및 폴란트 바르샤바대학교 객원교수로 뉴질랜드 외교정책, 특히 인도태평양 지역에 대한 깊은 전문 지식을 기반으로 한 교육, 감독 및 연구 등에 참여하고 있으며 2009년부터 2021년까지 뉴질랜드 국립국제문제연구소(New Zealand Institute of International Affairs) 부회장을 맡았고, 지금도 같은 기관의 평생회원 및 관련 기관 정기 발표자로 활동 중입니다. 이번 방한 기간에는 서울대 국제학연구소에서 주최하는 Global Prominence Seminar 에서 「New Zealand and the Indo-Pacific」을 주제로 강연을 진행하였습니다. 아산정책연구원도 방문하여 인도태평양 지역에 대한 외교안보적 관점을 공유하고, 양국 간 1.5트랙 대화 활성화 방안에 대해 논의하였습니다. 슬로바키아 칸드릭 Adapt 안보정책연구소장은 슬로바키아를 대표하는 외교, 안보, 국방 분야 전문가로, 중동부유럽 안보와 국방 관련 정책을 제시하고 정책 결정에 영향력을 행사하는 핵심 인사로서, 이번 한국 방문 기간 중에는 국방부 및 국방기술진흥연구소 관계자와 면담을 진행하였습니다."
